fiscal_year,baseline_trend_busd,lo80_busd,hi80_busd,arima_busd,conservative_busd,high_growth_busd
2025,839.9,784.2,899.6,753.8,827.3,865.1
2026,893.3,831.0,960.2,753.5,866.7,947.7
2027,950.0,880.2,1025.3,753.3,907.9,1038.1
2028,1010.3,931.9,1095.3,753.3,951.0,1137.1
2029,1074.5,986.4,1170.4,753.3,996.3,1245.6
2030,1142.7,1043.8,1250.9,753.3,1043.6,1364.4
